Short string,Custom enum,Simple date,Simple time,Yearless date,Price,Date (Month First)
Bridget Gray,ABCD,30/06/2000,07:49:29,19 September,$159.72,5/27/2019
Piotr Edwards,ABCD,14/02/2004,21:03:16,28 February,$62.58,5/30/2019
Tamika Mata,ABCD,09/06/2007,22:01:14,6 October,$52.04,6/6/2019
Koby Lutz,ABCD,12/10/2004,22:17:02,28 March,$251.89,6/28/2019
Franklyn Hill,ABCD,18/08/2000,02:25:55,24 October 1999,$259.32,7/3/2019
Dulcie Mcdermott,ABCD,23/04/2005,08:44:48,29 August,$275.89,7/4/2019
Sulayman Lacey,ABCD,05/10/2000,05:38:19,27 October,$49.74,7/8/2019
Simona Medrano,ABCD,23/03/2007,19:58:29,30 April,$46.77,7/11/2019
Leighton Bain,ABCD,29/10/2007,14:18:33,12 January,$276.09,7/25/2019
Dollie Odonnell,ABCD,02/04/2008,00:49:40,2 March,$250.93,7/29/2019
Denis Melton,ABCD,16/10/2010,16:46:19,10 February,$373.31,7/30/2019
Eleni Schmitt,ABCD,02/01/2011,02:15:41,6 May,$136.74,7/31/2019
Amalie Greaves,ABCD,11/04/2011,14:23:57,20 September,$246.46,8/1/2019
Shayla Chamberlain,ABCD,24/12/2011,04:15:00,10 November,$35.59,8/5/2019
Zaki Oconnell,ABCD,29/10/2012,17:39:14,22 September,$280.84,8/13/2019
Tomas Barrett,ABCD,10/02/2013,14:09:44,16 October,$179.09,9/24/2019
Warren Haynes,EFGH,14/09/2013,09:45:49,16 January,$313.14,10/22/2019
Maliha Morales,EFGH,02/01/2014,18:36:35,19 April,$333.91,11/1/2019
Anja Morse,EFGH,01/05/2015,17:01:19,13 June,$89.38,11/14/2019
Zayan Redmond,EFGH,06/06/2015,18:20:46,22 May,$360.02,11/18/2019
Andrei Dunne,EFGH,05/01/2016,22:50:38,10 October,$46.17,11/20/2019
Elliot Miller,EFGH,25/01/2016,13:19:12,15 November,$307.81,11/21/2019
Ashlea Carlson,EFGH,30/01/2017,01:47:54,12 September,$207.85,11/22/2019
Christian Pena,JKIL,26/02/2017,06:59:23,20 September,$369.6,11/27/2019
Yu Dolan,JKIL,10/08/2019,14:46:35,12 June,$64.08,12/9/2019
Paulina Mohamed,JKIL,06/11/2000,00:33:09,27 August,$314.91,6/4/2019
Antoinette Levine,JKIL,09/07/2001,12:46:24,16 March,$67.34,6/13/2019
Ayush Hardy,JKIL,24/03/2002,09:41:33,14 February,$206.79,6/20/2019
Dwayne Levy,MNOP,19/07/2002,05:24:10,9 August 1981,$308.67,7/4/2019
Stefania Bullock,MNOP,25/07/2003,06:43:38,6 April,$358.87,7/5/2019
Imran Roth,MNOP,12/04/2004,16:57:44,11 April,$213.41,7/8/2019
Gurleen Chadwick,MNOP,01/07/2004,06:45:45,18 December,$351.26,7/15/2019
Mary Churchill,QRST,23/04/2006,00:13:23,11 February,$396.88,7/25/2019
Ruben Gunn,QRST,29/05/2006,22:09:16,7 September,$74.09,7/29/2019
Lorelai Hooper,QRST,06/06/2009,22:16:20,19 December,$133.29,8/1/2019
Clementine Spears,QRST,30/04/2010,05:56:58,16 November,$383.37,8/5/2019
Mysha Carney,QRST,24/09/2010,19:46:32,6 June,$200.41,8/8/2019
Teresa Power,QRST,24/10/2010,03:51:44,26 December,$31.77,9/6/2019
Ellisha Buck,QRST,01/09/2011,19:51:37,17 July,$227.01,10/1/2019
Davina Mcloughlin,QRST,01/07/2013,10:46:49,8 May,$183.98,10/3/2019
Aimie Markham,QRST,21/12/2013,00:32:39,17 January,$121.31,10/9/2019
Vikram Cox,UVWX,05/03/2014,07:59:50,5 December,$333.18,10/11/2019
Zack Ridley,UVWX,27/05/2014,19:26:23,12 November,$198.88,10/14/2019
Abida Sexton,UVWX,13/12/2014,15:56:31,18 April 2009,$320.48,10/18/2019
Eshaan Ashton,UVWX,25/03/2015,03:55:18,26 November,$215.77,10/31/2019
Kaison Galvan,UVWX,23/07/2017,07:42:39,20 August,$63.13,12/12/2019
Paolo Forster,UVWX,09/10/2018,12:50:44,25 June,$182.37,12/16/2019
Alejandro Haworth,UVWX,24/05/2019,23:41:53,14 July,$346.62,12/19/2019
Neha Mckee,UVWX,14/06/2019,09:11:29,28 May,$269.85,12/24/2019
Niall Sandoval,UVWX,30/09/2019,21:11:18,21 March,$132.45,12/25/2019
